brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
BMW,1 Series,2013,Manual,39385,Diesel,20,39.6,1.7,20922.19
Toyota,Aygo,2005,Manual,57391,Diesel,125,62.1,1.3,7373.95
VW,T-Roc,2012,Semi-Auto,34196,Hybrid,30,35.3,2.2,14067.97
Toyota,Corolla,2013,Manual,54625,Diesel,20,50.1,2.4,17076.87
Toyota,Aygo,2016,Semi-Auto,21415,Hybrid,20,67.8,2.2,18594.5
Toyota,Aygo,2022,Semi-Auto,7052,Hybrid,0,66.7,1.9,23109.24
Hyundai,Ioniq,2014,Manual,34255,Diesel,555,52.1,1.9,9950.29
Skoda,Fabia,2016,Semi-Auto,27884,Diesel,20,66.6,1.7,16451.92
Ford,EcoSport,2012,Manual,51927,Electric,125,69.5,1.4,10713.53
Skoda,Kodiaq,2006,Manual,60125,Petrol,20,43.1,1.8,4998.36
Hyundai,Kona,2015,Manual,36178,Electric,555,66.2,1.4,12245.29
Ford,Kuga,2009,Manual,56440,Hybrid,205,54.3,1.7,9703.06
Skoda,Fabia,2009,Automatic,59950,Electric,20,27.1,1.1,7211.16
Ford,Mondeo,2010,Automatic,42739,Electric,555,42.3,1.6,9968.31
VW,T-Cross,2022,Manual,4345,Petrol,145,49.2,2.0,21825.35
Skoda,Citigo,2014,Semi-Auto,29055,Diesel,145,77.9,1.5,14652.28
VW,Touareg,2010,Automatic,62055,Petrol,125,38.4,2.3,11414.49
Ford,Kuga,2010,Automatic,52670,Petrol,20,47.0,1.6,10235.79
Skoda,Kodiaq,2014,Manual,27699,Petrol,20,50.5,1.2,11708.69
BMW,X5,2007,Automatic,69725,Diesel,30,56.4,1.7,18517.47
Mercedes,GLA Class,2018,Manual,22470,Diesel,150,53.0,2.5,34499.88
Vauxhall,Grandland X,2019,Manual,16087,Diesel,125,50.2,1.2,16755.76
Hyundai,i10,2007,Automatic,117856,Petrol,150,65.7,1.2,4897.69
BMW,4 Series,2013,Automatic,80988,Electric,555,31.0,1.8,23058.47
Hyundai,Ioniq,2020,Semi-Auto,10853,Diesel,150,64.7,1.1,15754.51
Toyota,C-HR,2019,Automatic,18331,Petrol,20,69.3,2.0,20429.12
Audi,Q3,2015,Manual,59291,Diesel,30,59.1,1.4,19478.26
Toyota,Yaris,2013,Semi-Auto,45648,Diesel,20,38.4,2.3,14475.85
Audi,Q7,2005,Manual,57037,Diesel,125,56.9,1.3,13544.44
Toyota,Aygo,2010,Semi-Auto,65113,Petrol,555,36.9,2.5,14068.91
Mercedes,E Class,2022,Automatic,32504,Electric,0,38.4,1.6,32128.28
VW,Polo,2015,Manual,26463,Petrol,30,47.6,1.9,15235.94
Audi,Q7,2007,Manual,87770,Petrol,125,55.4,2.2,13919.12
Toyota,Aygo,2023,Manual,1313,Petrol,150,43.9,1.9,25347.19
Mercedes,B Class,2015,Manual,31449,Hybrid,145,65.2,2.0,29028.19
Vauxhall,Mokka,2007,Manual,68297,Electric,20,50.3,1.6,4082.24
BMW,4 Series,2021,Semi-Auto,49645,Diesel,125,74.6,2.9,31153.25
Skoda,Octavia,2010,Semi-Auto,63982,Hybrid,0,79.4,1.6,9471.58
VW,T-Cross,2008,Manual,73607,Hybrid,30,39.8,1.2,8780.31
Mercedes,C Class,2011,Automatic,49616,Hybrid,145,63.5,1.6,24222.34
VW,T-Roc,2013,Manual,44793,Petrol,0,62.3,2.0,14046.84
Audi,Q2,2009,Automatic,44283,Hybrid,205,54.9,1.3,17295.47
VW,Polo,2008,Manual,45638,Diesel,30,72.6,1.8,8606.36
Toyota,Yaris,2006,Semi-Auto,65208,Hybrid,0,70.8,2.3,11568.75
Skoda,Fabia,2012,Automatic,80625,Petrol,205,50.2,1.4,9645.95
Ford,Focus,2010,Manual,67174,Electric,150,58.1,1.0,6033.72
Toyota,Prius,2012,Semi-Auto,38196,Diesel,0,39.9,2.2,14496.53
Vauxhall,Astra,2011,Semi-Auto,39516,Hybrid,125,70.8,1.3,8576.28
Hyundai,i10,2011,Semi-Auto,89099,Hybrid,145,38.1,1.3,7721.77
Skoda,Karoq,2021,Semi-Auto,47030,Hybrid,145,40.2,1.9,19834.92
Ford,EcoSport,2013,Manual,62559,Petrol,150,40.6,1.6,12987.46
Toyota,RAV4,2021,Manual,51284,Electric,0,33.6,2.3,21830.14
Toyota,Aygo,2021,Automatic,13654,Diesel,150,38.1,1.5,21575.42
Skoda,Karoq,2008,Automatic,56141,Hybrid,150,65.0,1.5,8074.38
Toyota,Land Cruiser,2014,Automatic,61076,Diesel,205,64.9,1.3,11978.51
Ford,EcoSport,2023,Semi-Auto,5023,Electric,145,25.0,1.5,20763.93
Hyundai,Tucson,2023,Automatic,2553,Hybrid,125,54.9,1.5,21863.93
VW,T-Roc,2010,Automatic,46807,Petrol,150,54.9,1.4,11143.52
BMW,4 Series,2014,Manual,41629,Diesel,555,37.1,1.7,21782.46
BMW,X5,2018,Automatic,86355,Diesel,205,52.3,2.6,30163.1
Hyundai,i20,2005,Manual,119640,Electric,555,61.2,1.2,1824.54
Audi,Q7,2012,Manual,40158,Electric,150,45.9,1.3,16614.05
Vauxhall,Grandland X,2021,Semi-Auto,12704,Electric,555,58.5,1.9,19146.7
Vauxhall,Mokka,2012,Automatic,46970,Hybrid,125,58.5,1.8,11026.77
Mercedes,E Class,2007,Automatic,49057,Hybrid,20,50.1,1.7,21054.59
Ford,Focus,2012,Semi-Auto,38477,Diesel,205,37.9,1.7,11121.86
Skoda,Kamiq,2019,Semi-Auto,15130,Petrol,0,43.9,1.2,16570.89
Toyota,C-HR,2005,Semi-Auto,59542,Hybrid,205,73.4,2.1,9256.88
VW,Passat,2022,Automatic,25303,Diesel,555,47.3,1.7,21179.51
Audi,Q3,2015,Automatic,50054,Electric,30,62.8,2.4,25910.15
VW,Polo,2017,Automatic,27170,Petrol,555,44.3,1.1,18150.15
Ford,Fiesta,2013,Semi-Auto,45347,Hybrid,205,49.7,1.2,12801.38
Mercedes,E Class,2013,Manual,31892,Electric,150,49.3,1.3,23180.12
Hyundai,Santa Fe,2007,Automatic,52128,Petrol,125,67.7,1.8,9274.96
Audi,A4,2012,Manual,33832,Electric,125,50.4,2.3,23494.97
Vauxhall,Insignia,2013,Semi-Auto,30334,Diesel,20,78.4,1.6,12990.29
Ford,Kuga,2008,Automatic,59352,Petrol,205,50.9,1.9,10275.34
Toyota,Land Cruiser,2011,Manual,39832,Diesel,20,69.8,1.2,10831.59
Audi,Q2,2022,Semi-Auto,26484,Hybrid,0,64.1,1.1,27823.14
Toyota,Prius,2020,Manual,11958,Electric,555,53.6,2.4,22656.14
